,key,fitness_vector,rate,fixed_value,use_fitness_vector,use_per_gene_config,fitness_goal
2,seed,BETTER,0.0002653596968386363,,False,False,three_cycle
3,stamp,BETTER,0.0002653596968386363,,False,False,three_cycle
4,stamp_offset,BETTER,0.0002653596968386363,,False,False,three_cycle
5,repeat_mode,BETTER,0.0002653596968386363,,False,False,three_cycle
6,repeat_offset,BETTER,0.0002653596968386363,,False,False,three_cycle
7,mirror,BETTER,0.0002653596968386363,,False,False,three_cycle
0,global_mutation_rate,WORSE,0.006394267984578837,,False,True,three_cycle
1,global_crossover_rate,WORSE,0.6349782881970603,,False,True,three_cycle
2,seed,WORSE,0.0008619515203716965,,False,True,three_cycle
3,stamp,WORSE,0.0,True,False,True,three_cycle
4,stamp_offset,WORSE,0.006207740782336708,,False,True,three_cycle
5,repeat_mode,WORSE,0.0,3,False,True,three_cycle
6,repeat_offset,WORSE,0.004624782539843656,,False,True,three_cycle
7,mirror,WORSE,0.007627198341846312,,False,True,three_cycle
0,global_mutation_rate,SAME,0.006394267984578837,,False,True,three_cycle
1,global_crossover_rate,SAME,0.6349782881970603,,False,True,three_cycle
2,seed,SAME,0.0008619515203716965,,False,True,three_cycle
3,stamp,SAME,0.0,True,False,True,three_cycle
4,stamp_offset,SAME,0.006207740782336708,,False,True,three_cycle
5,repeat_mode,SAME,0.0,3,False,True,three_cycle
6,repeat_offset,SAME,0.004624782539843656,,False,True,three_cycle
7,mirror,SAME,0.007627198341846312,,False,True,three_cycle
0,global_mutation_rate,BETTER,0.006394267984578837,,False,True,three_cycle
1,global_crossover_rate,BETTER,0.6349782881970603,,False,True,three_cycle
2,seed,BETTER,0.0008619515203716965,,False,True,three_cycle
3,stamp,BETTER,0.0,True,False,True,three_cycle
4,stamp_offset,BETTER,0.006207740782336708,,False,True,three_cycle
5,repeat_mode,BETTER,0.0,3,False,True,three_cycle
6,repeat_offset,BETTER,0.004624782539843656,,False,True,three_cycle
7,mirror,BETTER,0.007627198341846312,,False,True,three_cycle
0,global_mutation_rate,WORSE,0.00872416202993161,,True,False,three_cycle
1,global_crossover_rate,WORSE,0.23279088636103018,,True,False,three_cycle
2,seed,WORSE,0.00872416202993161,,True,False,three_cycle
3,stamp,WORSE,0.00872416202993161,,True,False,three_cycle
4,stamp_offset,WORSE,0.00872416202993161,,True,False,three_cycle
5,repeat_mode,WORSE,0.00872416202993161,,True,False,three_cycle
6,repeat_offset,WORSE,0.00872416202993161,,True,False,three_cycle
7,mirror,WORSE,0.00872416202993161,,True,False,three_cycle
0,global_mutation_rate,SAME,0.00032100243904037765,,True,False,three_cycle
1,global_crossover_rate,SAME,0.10100142940972912,,True,False,three_cycle
2,seed,SAME,0.00032100243904037765,,True,False,three_cycle
3,stamp,SAME,0.00032100243904037765,,True,False,three_cycle
4,stamp_offset,SAME,0.00032100243904037765,,True,False,three_cycle
5,repeat_mode,SAME,0.00032100243904037765,,True,False,three_cycle
6,repeat_offset,SAME,0.00032100243904037765,,True,False,three_cycle
7,mirror,SAME,0.00032100243904037765,,True,False,three_cycle
0,global_mutation_rate,BETTER,0.0031545304805908193,,True,False,three_cycle
1,global_crossover_rate,BETTER,0.2779736031100921,,True,False,three_cycle
2,seed,BETTER,0.0031545304805908193,,True,False,three_cycle
3,stamp,BETTER,0.0031545304805908193,,True,False,three_cycle
4,stamp_offset,BETTER,0.0031545304805908193,,True,False,three_cycle
5,repeat_mode,BETTER,0.0031545304805908193,,True,False,three_cycle
6,repeat_offset,BETTER,0.0031545304805908193,,True,False,three_cycle
7,mirror,BETTER,0.0031545304805908193,,True,False,three_cycle
0,global_mutation_rate,WORSE,0.0023854494188890584,,True,True,three_cycle
1,global_crossover_rate,WORSE,0.22321073814882275,,True,True,three_cycle
2,seed,WORSE,0.0042564984626524294,,True,True,three_cycle
3,stamp,WORSE,0.0,True,True,True,three_cycle
4,stamp_offset,WORSE,0.00452818242403134,,True,True,three_cycle
5,repeat_mode,WORSE,3.100492499506059e-05,,True,True,three_cycle
6,repeat_offset,WORSE,0.0007417769649503516,,True,True,three_cycle
7,mirror,WORSE,0.00215073073879251,,True,True,three_cycle
0,global_mutation_rate,SAME,0.00473561060946128,,True,True,three_cycle
1,global_crossover_rate,SAME,0.7364712141640124,,True,True,three_cycle
2,seed,SAME,0.0008234169163480833,,True,True,three_cycle
3,stamp,SAME,0.0,True,True,True,three_cycle
4,stamp_offset,SAME,0.000806767227049473,,True,True,three_cycle
5,repeat_mode,SAME,0.007632092396575193,,True,True,three_cycle
6,repeat_offset,SAME,0.00906597676051492,,True,True,three_cycle
7,mirror,SAME,0.007107926884738049,,True,True,three_cycle
0,global_mutation_rate,BETTER,0.0011438944610930658,,True,True,three_cycle
1,global_crossover_rate,BETTER,0.6766994874229113,,True,True,three_cycle
2,seed,BETTER,0.0009652680651045762,,True,True,three_cycle
3,stamp,BETTER,0.0,True,True,True,three_cycle
4,stamp_offset,BETTER,0.000567808517916498,,True,True,three_cycle
5,repeat_mode,BETTER,0.0015971955739957934,,True,True,three_cycle
6,repeat_offset,BETTER,0.0007700572715769476,,True,True,three_cycle
7,mirror,BETTER,0.0013036957044067687,,True,True,three_cycle
0,global_mutation_rate,WORSE,0.005569497437746463,,False,False,left_to_right
1,global_crossover_rate,WORSE,0.6981393949882269,,False,False,left_to_right
2,seed,WORSE,0.005569497437746463,,False,False,left_to_right
3,stamp,WORSE,0.005569497437746463,,False,False,left_to_right
4,stamp_offset,WORSE,0.005569497437746463,,False,False,left_to_right
5,repeat_mode,WORSE,0.005569497437746463,,False,False,left_to_right
6,repeat_offset,WORSE,0.005569497437746463,,False,False,left_to_right
7,mirror,WORSE,0.005569497437746463,,False,False,left_to_right
0,global_mutation_rate,SAME,0.005569497437746463,,False,False,left_to_right
1,global_crossover_rate,SAME,0.6981393949882269,,False,False,left_to_right
2,seed,SAME,0.005569497437746463,,False,False,left_to_right
3,stamp,SAME,0.005569497437746463,,False,False,left_to_right
4,stamp_offset,SAME,0.005569497437746463,,False,False,left_to_right
5,repeat_mode,SAME,0.005569497437746463,,False,False,left_to_right
6,repeat_offset,SAME,0.005569497437746463,,False,False,left_to_right
7,mirror,SAME,0.005569497437746463,,False,False,left_to_right
0,global_mutation_rate,BETTER,0.005569497437746463,,False,False,left_to_right
1,global_crossover_rate,BETTER,0.6981393949882269,,False,False,left_to_right
2,seed,BETTER,0.005569497437746463,,False,False,left_to_right
3,stamp,BETTER,0.005569497437746463,,False,False,left_to_right
4,stamp_offset,BETTER,0.005569497437746463,,False,False,left_to_right
5,repeat_mode,BETTER,0.005569497437746463,,False,False,left_to_right
6,repeat_offset,BETTER,0.005569497437746463,,False,False,left_to_right
7,mirror,BETTER,0.005569497437746463,,False,False,left_to_right
0,global_mutation_rate,WORSE,0.007078409465484541,,False,True,left_to_right
1,global_crossover_rate,WORSE,0.7319075948446278,,False,True,left_to_right
2,seed,WORSE,0.0009541742409455286,,False,True,left_to_right
3,stamp,WORSE,0.0,True,False,True,left_to_right
4,stamp_offset,WORSE,0.006871925170940542,,False,True,left_to_right
5,repeat_mode,WORSE,0.01,,False,True,left_to_right
6,repeat_offset,WORSE,0.00815732399101376,,False,True,left_to_right
7,mirror,WORSE,0.006695792312514183,,False,True,left_to_right
0,global_mutation_rate,SAME,0.007078409465484541,,False,True,left_to_right
1,global_crossover_rate,SAME,0.7319075948446278,,False,True,left_to_right
2,seed,SAME,0.0009541742409455286,,False,True,left_to_right
3,stamp,SAME,0.0,True,False,True,left_to_right
4,stamp_offset,SAME,0.006871925170940542,,False,True,left_to_right
5,repeat_mode,SAME,0.01,,False,True,left_to_right
6,repeat_offset,SAME,0.00815732399101376,,False,True,left_to_right
7,mirror,SAME,0.006695792312514183,,False,True,left_to_right
0,global_mutation_rate,BETTER,0.007078409465484541,,False,True,left_to_right
1,global_crossover_rate,BETTER,0.7319075948446278,,False,True,left_to_right
2,seed,BETTER,0.0009541742409455286,,False,True,left_to_right
3,stamp,BETTER,0.0,True,False,True,left_to_right
4,stamp_offset,BETTER,0.006871925170940542,,False,True,left_to_right
5,repeat_mode,BETTER,0.01,,False,True,left_to_right
6,repeat_offset,BETTER,0.00815732399101376,,False,True,left_to_right
7,mirror,BETTER,0.006695792312514183,,False,True,left_to_right
0,global_mutation_rate,WORSE,0.004231379402008869,,True,False,left_to_right
1,global_crossover_rate,WORSE,0.7299310690899762,,True,False,left_to_right
2,seed,WORSE,0.004231379402008869,,True,False,left_to_right
